"","lambda","mu","prob","meanN","meanNb"
"1",1e-05,0.01,-111.094509292957,1.00055038517372,1.0004594355481
"2",0.00101,0.01,-111.528928146193,1.05453451468124,1.04573678076753
"3",0.00201,0.01,-111.923074410444,1.10663807409477,1.08980193666637
"4",0.00301,0.01,-112.283314669607,1.15711798473737,1.13279144786705
"5",0.00401,0.01,-112.614643676096,1.20617525354356,1.17481532484097
"6",0.00501,0.01,-112.921043511402,1.25396521247723,1.21595913530941
"7",0.00601,0.01,-113.205730739293,1.30060343668496,1.25628462494219
"8",0.00701,0.01,-113.471332604085,1.34617094723641,1.29583120487893
"9",0.00801,0.01,-113.720016727759,1.39072007957643,1.33461901504659
"10",0.00901,0.01,-113.953588854955,1.43428087483671,1.37265310650464
"11",0.01001,0.01,-114.173567629351,1.47686734573063,1.40992795033159
"12",0.01101,0.01,-114.381242307359,1.5184830483003,1.44643162453929
"13",0.01201,0.01,-114.577717545774,1.55912564988404,1.48214930933013
"14",0.01301,0.01,-114.763948299682,1.59879041980404,1.51706596305632
"15",0.01401,0.01,-114.940767120879,1.63747272265666,1.55116820871481
"16",0.01501,0.01,-115.108905606241,1.67516966969143,1.58444554179746
"17",0.01601,0.01,-115.269011337903,1.7118811053304,1.61689099843427
"18",0.01701,0.01,-115.421661344597,1.74761009638541,1.6485014201391
"19",0.01801,0.01,-115.567372872761,1.78236306756269,1.67927743395609
"20",0.01901,0.01,-115.706612070873,1.81614969861225,1.70922324421267
"21",0.02001,0.01,-115.839801048533,1.84898267147539,1.73834630975781
"22",0.02101,0.01,-115.967323663411,1.88087733246904,1.76665696098623
"23",0.02201,0.01,-116.08953030666,1.91185131564383,1.79416799494916
"24",0.02301,0.01,-116.206741894618,1.94192415878709,1.82089427439122
"25",0.02401,0.01,-116.319253227012,1.97111693254343,1.84685234720095
"26",0.02501,0.01,-116.427335835652,1.99945189511566,1.87206009596219
"27",1e-05,0.03,-91.6745726315487,1.00055038517372,1.0004594355481
"28",0.00101,0.03,-92.1055140100071,1.05453451468124,1.04573678076753
"29",0.00201,0.03,-92.4966347307885,1.10663807409477,1.08980193666637
"30",0.00301,0.03,-92.8542132380843,1.15711798473737,1.13279144786705
"31",0.00401,0.03,-93.183178227111,1.20617525354356,1.17481532484097
"32",0.00501,0.03,-93.4874612458495,1.25396521247723,1.21595913530941
"33",0.00601,0.03,-93.7702395248105,1.30060343668496,1.25628462494219
"34",0.00701,0.03,-94.0341092299872,1.34617094723641,1.29583120487893
"35",0.00801,0.03,-94.2812130952433,1.39072007957643,1.33461901504659
"36",0.00901,0.03,-94.5133366863629,1.43428087483671,1.37265310650464
"37",0.01001,0.03,-94.7319820962937,1.47686734573063,1.40992795033159
"38",0.01101,0.03,-94.9384248585804,1.5184830483003,1.44643162453929
"39",0.01201,0.03,-95.1337581357887,1.55912564988404,1.48214930933013
"40",0.01301,0.03,-95.3189271641016,1.59879041980404,1.51706596305632
"41",0.01401,0.03,-95.4947562054631,1.63747272265666,1.55116820871481
"42",0.01501,0.03,-95.661969728906,1.67516966969143,1.58444554179746
"43",0.01601,0.03,-95.8212091428309,1.7118811053304,1.61689099843427
"44",0.01701,0.03,-95.9730460929332,1.74761009638541,1.6485014201391
"45",0.01801,0.03,-96.1179931036523,1.78236306756269,1.67927743395609
"46",0.01901,0.03,-96.2565121586556,1.81614969861225,1.70922324421267
"47",0.02001,0.03,-96.3890216759769,1.84898267147539,1.73834630975781
"48",0.02101,0.03,-96.5159022265107,1.88087733246904,1.76665696098623
"49",0.02201,0.03,-96.6375012631142,1.91185131564383,1.79416799494916
"50",0.02301,0.03,-96.7541370656262,1.94192415878709,1.82089427439122
"51",0.02401,0.03,-96.8661020600611,1.97111693254343,1.84685234720095
"52",0.02501,0.03,-96.9736656344762,1.99945189511566,1.87206009596219
"53",1e-05,0.05,-82.8315509241914,1.00055038517372,1.0004594355481
