"","lambda","mu","prob","meanN","meanNb"
"1",0.01,0.01,-111.135277739339,1.00545734990796,1.00455644900706
"2",0.11,0.01,-111.592524160611,1.06078965110932,1.05087974119941
"3",0.21,0.01,-112.056723226431,1.11750027446782,1.0985813555489
"4",0.31,0.01,-112.527865658867,1.17558557599701,1.14765764806927
"5",0.41,0.01,-113.005936427877,1.235039658623,1.19810272168897
"6",0.51,0.01,-113.490914810512,1.29585440665845,1.24990846073688
"7",0.61,0.01,-113.982774471848,1.35801953268528,1.30306457786813
"8",0.71,0.01,-114.481483566453,1.4215226358386,1.35755867246744
"9",0.81,0.01,-114.987004858643,1.48634927003117,1.41337629914387
"10",0.91,0.01,-115.499295859201,1.55248302016967,1.47050104447676
"11",1.01,0.01,-116.018308975627,1.61990558393662,1.52891460972885
"12",0.01,0.03,-91.7150081917471,1.00545734990796,1.00455644900706
"13",0.11,0.03,-92.1686136538929,1.06078965110932,1.05087974119941
"14",0.21,0.03,-92.6292847201442,1.11750027446782,1.0985813555489
"15",0.31,0.03,-93.0970117584297,1.17558557599701,1.14765764806927
"16",0.41,0.03,-93.5717792030529,1.235039658623,1.19810272168897
"17",0.51,0.03,-94.0535656168361,1.29585440665845,1.24990846073688
"18",0.61,0.03,-94.5423437760175,1.35801953268528,1.30306457786813
"19",0.71,0.03,-95.0380807766574,1.4215226358386,1.35755867246744
"20",0.81,0.03,-95.5407381607661,1.48634927003117,1.41337629914387
"21",0.91,0.03,-96.0502720597631,1.55248302016967,1.47050104447676
"22",1.01,0.03,-96.5666333522595,1.61990558393662,1.52891460972885
"23",0.01,0.05,-82.8716601955525,1.00545734990796,1.00455644900706
"24",0.11,0.05,-83.3216971920986,1.06078965110932,1.05087974119941
"25",0.21,0.05,-83.7789110882776,1.11750027446782,1.0985813555489
"26",0.31,0.05,-84.243291849691,1.17558557599701,1.14765764806927
"27",0.41,0.05,-84.7148233325251,1.235039658623,1.19810272168897
"28",0.51,0.05,-85.193483348689,1.29585440665845,1.24990846073688
"29",0.61,0.05,-85.6792437546887,1.35801953268528,1.30306457786813
"30",0.71,0.05,-86.1720705629542,1.4215226358386,1.35755867246744
"31",0.81,0.05,-86.671924073779,1.48634927003117,1.41337629914387
"32",0.91,0.05,-87.1787590254247,1.55248302016967,1.47050104447676
