"","prop","mu","prob","meanN","meanNb"
"1",0.92,0.01,-115.425779342082,3.44085220723295,3.13086552189665
"2",0.93,0.01,-114.863611704663,3.44166284082681,3.131603125437
"3",0.94,0.01,-114.307456670592,3.4424565518185,3.13232533093395
"4",0.95,0.01,-113.757186985404,3.44323386453746,3.13303261548003
"5",0.96,0.01,-113.212679392305,3.44399528187771,3.1337254366635
"6",0.97,0.01,-112.673814466457,3.44474128638196,3.13440423355476
"7",0.98,0.01,-112.140476457763,3.44547234126062,3.13506942763354
"8",0.99,0.01,-111.612553141634,3.44618889135012,3.13572142366092
"9",1,0.01,-111.089935677252,3.44689136401487,3.13636061050002
"10",0.92,0.03,-96.0058801113468,3.44085220723295,3.13086552189665
"11",0.93,0.03,-95.4437124739276,3.44166284082681,3.131603125437
"12",0.94,0.03,-94.8875574398567,3.4424565518185,3.13232533093395
"13",0.95,0.03,-94.3372877546688,3.44323386453746,3.13303261548003
"14",0.96,0.03,-93.7927801615695,3.44399528187771,3.1337254366635
"15",0.97,0.03,-93.253915235721,3.44474128638196,3.13440423355476
"16",0.98,0.03,-92.7205772270272,3.44547234126062,3.13506942763354
"17",0.99,0.03,-92.1926539108983,3.44618889135012,3.13572142366092
"18",1,0.03,-91.6700364465162,3.44689136401487,3.13636061050002
"19",0.92,0.05,-87.1628950931586,3.44085220723295,3.13086552189665
"20",0.93,0.05,-86.6007274557394,3.44166284082681,3.131603125437
"21",0.94,0.05,-86.0445724216685,3.4424565518185,3.13232533093395
"22",0.95,0.05,-85.4943027364806,3.44323386453746,3.13303261548003
"23",0.96,0.05,-84.9497951433812,3.44399528187771,3.1337254366635
"24",0.97,0.05,-84.4109302175328,3.44474128638196,3.13440423355476
"25",0.98,0.05,-83.8775922088389,3.44547234126062,3.13506942763354
"26",0.99,0.05,-83.34966889271,3.44618889135012,3.13572142366092
"27",1,0.05,-82.8270514283279,3.44689136401487,3.13636061050002
"28",0.92,0.07,-81.4550986457889,3.44085220723295,3.13086552189665
"29",0.93,0.07,-80.8929310083697,3.44166284082681,3.131603125437
"30",0.94,0.07,-80.3367759742988,3.4424565518185,3.13232533093395
"31",0.95,0.07,-79.7865062891109,3.44323386453746,3.13303261548003
"32",0.96,0.07,-79.2419986960115,3.44399528187771,3.1337254366635
"33",0.97,0.07,-78.7031337701631,3.44474128638196,3.13440423355476
"34",0.98,0.07,-78.1697957614693,3.44547234126062,3.13506942763354
"35",0.99,0.07,-77.6418724453403,3.44618889135012,3.13572142366092
"36",1,0.07,-77.1192549809582,3.44689136401487,3.13636061050002
"37",0.92,0.09,-77.2770419097294,3.44085220723295,3.13086552189665
"38",0.93,0.09,-76.7148742723102,3.44166284082681,3.131603125437
"39",0.94,0.09,-76.1587192382393,3.4424565518185,3.13232533093395
"40",0.95,0.09,-75.6084495530513,3.44323386453746,3.13303261548003
"41",0.96,0.09,-75.063941959952,3.44399528187771,3.1337254366635
"42",0.97,0.09,-74.5250770341036,3.44474128638196,3.13440423355476
"43",0.98,0.09,-73.9917390254097,3.44547234126062,3.13506942763354
"44",0.99,0.09,-73.4638157092808,3.44618889135012,3.13572142366092
"45",1,0.09,-72.9411982448987,3.44689136401487,3.13636061050002
"46",0.92,0.11,-74.0075413458512,3.44085220723295,3.13086552189665
"47",0.93,0.11,-73.445373708432,3.44166284082681,3.131603125437
"48",0.94,0.11,-72.8892186743611,3.4424565518185,3.13232533093395
"49",0.95,0.11,-72.3389489891731,3.44323386453746,3.13303261548003
"50",0.96,0.11,-71.7944413960738,3.44399528187771,3.1337254366635
"51",0.97,0.11,-71.2555764702254,3.44474128638196,3.13440423355476
"52",0.98,0.11,-70.7222384615315,3.44547234126062,3.13506942763354
"53",0.99,0.11,-70.1943151454026,3.44618889135012,3.13572142366092
"54",1,0.11,-69.6716976810205,3.44689136401487,3.13636061050002
"55",0.92,0.13,-71.3401768968114,3.44085220723295,3.13086552189665
"56",0.93,0.13,-70.7780092593922,3.44166284082681,3.131603125437
"57",0.94,0.13,-70.2218542253213,3.4424565518185,3.13232533093395
"58",0.95,0.13,-69.6715845401334,3.44323386453746,3.13303261548003
"59",0.96,0.13,-69.1270769470341,3.44399528187771,3.1337254366635
"60",0.97,0.13,-68.5882120211856,3.44474128638196,3.13440423355476
"61",0.98,0.13,-68.0548740124918,3.44547234126062,3.13506942763354
"62",0.99,0.13,-67.5269506963629,3.44618889135012,3.13572142366092
"63",1,0.13,-67.0043332319808,3.44689136401487,3.13636061050002
"64",0.92,0.15,-69.1010744197175,3.44085220723295,3.13086552189665
"65",0.93,0.15,-68.5389067822983,3.44166284082681,3.131603125437
"66",0.94,0.15,-67.9827517482274,3.4424565518185,3.13232533093395
"67",0.95,0.15,-67.4324820630395,3.44323386453746,3.13303261548003
"68",0.96,0.15,-66.8879744699401,3.44399528187771,3.1337254366635
"69",0.97,0.15,-66.3491095440917,3.44474128638196,3.13440423355476
"70",0.98,0.15,-65.8157715353979,3.44547234126062,3.13506942763354
"71",0.99,0.15,-65.287848219269,3.44618889135012,3.13572142366092
"72",1,0.15,-64.7652307548869,3.44689136401487,3.13636061050002
"73",0.92,0.17,-67.1820191292661,3.44085220723295,3.13086552189665
"74",0.93,0.17,-66.6198514918469,3.44166284082681,3.131603125437
"75",0.94,0.17,-66.063696457776,3.4424565518185,3.13232533093395
"76",0.95,0.17,-65.5134267725881,3.44323386453746,3.13303261548003
"77",0.96,0.17,-64.9689191794887,3.44399528187771,3.1337254366635
"78",0.97,0.17,-64.4300542536403,3.44474128638196,3.13440423355476
"79",0.98,0.17,-63.8967162449465,3.44547234126062,3.13506942763354
"80",0.99,0.17,-63.3687929288175,3.44618889135012,3.13572142366092
"81",1,0.17,-62.8461754644355,3.44689136401487,3.13636061050002
"82",0.92,0.19,-65.5110709748023,3.44085220723295,3.13086552189665
"83",0.93,0.19,-64.948903337383,3.44166284082681,3.131603125437
"84",0.94,0.19,-64.3927483033121,3.4424565518185,3.13232533093395
"85",0.95,0.19,-63.8424786181242,3.44323386453746,3.13303261548003
"86",0.96,0.19,-63.2979710250249,3.44399528187771,3.1337254366635
"87",0.97,0.19,-62.7591060991764,3.44474128638196,3.13440423355476
"88",0.98,0.19,-62.2257680904826,3.44547234126062,3.13506942763354
"89",0.99,0.19,-61.6978447743537,3.44618889135012,3.13572142366092
"90",1,0.19,-61.1752273099716,3.44689136401487,3.13636061050002
"91",0.92,0.21,-64.0379759441707,3.44085220723295,3.13086552189665
