"","lambda","mu","prob","meanN","meanNb"
"1",0.001,0.01,-26.1170755773065,1.05617595746841,1.0430779727388
"2",0.011,0.01,-27.2133736742362,1.53506957185664,1.42587058996679
"3",0.021,0.01,-27.8334072562735,1.90594096258846,1.73239708662601
"4",0.031,0.01,-28.2378902292869,2.18290775499153,1.96379350251501
"5",0.041,0.01,-28.5211573605933,2.38862263654166,2.13648470400638
"6",0.051,0.01,-28.7296789749936,2.5443759950661,2.26757735707534
"7",0.061,0.01,-28.8891580740633,2.66524196047002,2.36947288237684
"8",0.071,0.01,-29.0148683874988,2.76127085868732,2.45051990338865
"9",0.081,0.01,-29.1164036694923,2.83917455036884,2.5163225905469
"10",0.091,0.01,-29.2000694466591,2.90352456549076,2.57071014479869
"11",0.101,0.01,-29.2701696816425,2.95751085609322,2.61636027920014
"12",0.111,0.01,-29.3297373503488,3.0034135905196,2.65518998594485
"13",0.121,0.01,-29.3809687183006,3.04289962905454,2.68860227784163
"14",0.131,0.01,-29.4254918650083,3.07721259873152,2.71764488846988
"15",0.141,0.01,-29.4645384954211,3.10729754392627,2.74311458809506
"16",0.151,0.01,-29.4990572056315,3.13388453887279,2.76562727791222
"17",0.161,0.01,-29.5297901417945,3.15754598967079,2.78566609276278
"18",0.171,0.01,-29.5573261052635,3.17873669713965,2.80361506886652
"19",0.181,0.01,-29.5821381116886,3.19782238711519,2.81978314129999
"20",0.191,0.01,-29.6046104529887,3.21510037402357,2.83442153755169
"21",0.201,0.01,-29.6250585247455,3.23081476034779,2.84773657975565
"22",0.211,0.01,-29.6437435744918,3.24516777675818,2.85989924146489
"23",0.221,0.01,-29.6608838238309,3.25832835390659,2.87105237484745
"24",0.231,0.01,-29.6766629618239,3.27043867991394,2.88131624183372
"25",0.241,0.01,-29.6912367058914,3.28161927272682,2.89079279414228
"26",0.251,0.01,-29.7047379237268,3.29197294403682,2.89956901910252
"27",0.261,0.01,-29.7172806709579,3.30158792648113,2.90771957999988
"28",0.271,0.01,-29.728963402881,3.31054036254844,2.91530891805219
"29",0.281,0.01,-29.7398715506496,3.31889630176211,2.92239293951017
"30",0.291,0.01,-29.7500796038015,3.32671331557544,2.92902038012058
"31",0.301,0.01,-29.7596528059638,3.33404181250807,2.93523391653705
"32",0.311,0.01,-29.7686485449666,3.34092611634802,2.94107107766602
"33",0.321,0.01,-29.7771174996872,3.34740535566607,2.94656499665167
"34",0.331,0.01,-29.7851045918439,3.35351420200148,2.95174503502649
"35",0.341,0.01,-29.7926497803455,3.3592834858729,2.95663730363566
"36",0.351,0.01,-29.799788727744,3.36474071353272,2.96126509968468
"37",0.361,0.01,-29.8065533621704,3.36991050260609,2.96564927522928
"38",0.371,0.01,-29.8129723533783,3.3748149510689,2.96980854931581
"39",0.381,0.01,-29.8190715178199,3.3794739511525,2.97375977356102
"40",0.391,0.01,-29.8248741647938,3.38390545752016,2.97751815906664
"41",0.401,0.01,-29.8304013934207,3.38812571729301,2.981097471072
"42",0.411,0.01,-29.8356723484067,3.39214946810312,2.984510196566
"43",0.421,0.01,-29.840704441109,3.39599010923546,2.98776768913648
"44",0.431,0.01,-29.8455135412752,3.39965985002562,2.99088029457996
"45",0.441,0.01,-29.8501141438918,3.4031698389599,2.99385746018529
"46",0.451,0.01,-29.8545195148323,3.40653027634042,2.9967078301122
"47",0.461,0.01,-29.8587418183794,3.40975051290327,2.99943932888374
