"","lambda","mu","prob","meanN","meanNb"
"1",0.01,0.01,-25.9699549463887,1.00568190892819,1.00433055757684
"2",0.11,0.01,-26.1421140816817,1.06318654318079,1.04832167831593
"3",0.21,0.01,-26.3168331508545,1.12193654690698,1.09355816852861
"4",0.31,0.01,-26.4941090007479,1.18192894492939,1.14003705303779
"5",0.41,0.01,-26.6739365291812,1.24315892058566,1.18775351518481
"6",0.51,0.01,-26.8563087034074,1.30561984115129,1.23670092227044
"7",0.61,0.01,-27.0412165853231,1.3693032923702,1.28687086015254
"8",0.71,0.01,-27.2286493630245,1.43419912125148,1.33825317622774
"9",0.81,0.01,-27.4185943881098,1.50029548587561,1.3908360296551
"10",0.91,0.01,-27.6110372179027,1.56757891050187,1.44460594727907
"11",1.01,0.01,-27.8059616615484,1.63603434382549,1.49954788331629
"12",1.11,0.01,-28.0033498287113,1.70564521784512,1.55564528052536
"13",1.21,0.01,-28.2031821794196,1.7763935045119,1.61288013031944
"14",1.31,0.01,-28.4054375734578,1.84825976717523,1.67123302913749
"15",1.41,0.01,-28.6100933176245,1.92122320384276,1.73068322838428
"16",1.51,0.01,-28.817125209158,1.99526167944473,1.79120867539204
"17",1.61,0.01,-29.0265075736914,2.07035174463735,1.85278604314944
"18",1.71,0.01,-29.2382132962306,2.146468639184,1.91539074697708
"19",1.81,0.01,-29.4522138438518,2.22358627859606,1.97899694688396
"20",1.91,0.01,-29.6684792790843,2.30167722346778,2.04357753499214
"21",2.01,0.01,-29.886978263265,2.3807126317644,2.10910410813457
"22",2.11,0.01,-30.1076780495126,2.46066219518187,2.17554692648043
"23",2.21,0.01,-30.3305444653588,2.54149406154718,2.24287485978694
"24",2.31,0.01,-30.5555418854758,2.6231747460309,2.31105532358075
"25",2.41,0.01,-30.7826331953317,2.70566903465986,2.38005420820353
"26",2.51,0.01,-31.0117797469843,2.78893988421506,2.44983580418542
"27",0.01,0.03,-21.7863937691775,1.00568190892819,1.00433055757684
"28",0.11,0.03,-21.9539984604159,1.06318654318079,1.04832167831593
"29",0.21,0.03,-22.1242977228149,1.12193654690698,1.09355816852861
"30",0.31,0.03,-22.2972879818129,1.18192894492939,1.14003705303779
"31",0.41,0.03,-22.4729635200828,1.24315892058566,1.18775351518481
"32",0.51,0.03,-22.6513164989228,1.30561984115129,1.23670092227044
"33",0.61,0.03,-22.832336987387,1.3693032923702,1.28687086015254
"34",0.71,0.03,-23.0160129987166,1.43419912125148,1.33825317622774
"35",0.81,0.03,-23.2023305334218,1.50029548587561,1.3908360296551
"36",0.91,0.03,-23.3912736281428,1.56757891050187,1.44460594727907
"37",1.01,0.03,-23.5828244091779,1.63603434382549,1.49954788331629
"38",1.11,0.03,-23.7769631493445,1.70564521784512,1.55564528052536
"39",1.21,0.03,-23.9736683266432,1.7763935045119,1.61288013031944
"40",1.31,0.03,-24.1729166830464,1.84825976717523,1.67123302913749
"41",1.41,0.03,-24.3746832816416,1.92122320384276,1.73068322838428
"42",1.51,0.03,-24.5789415603431,1.99526167944473,1.79120867539204
"43",1.61,0.03,-24.785663380436,2.07035174463735,1.85278604314944
"44",1.71,0.03,-24.9948190683505,2.146468639184,1.91539074697708
"45",1.81,0.03,-25.2063774492658,2.22358627859606,1.97899694688396
"46",1.91,0.03,-25.4203058714133,2.30167722346778,2.04357753499214
"47",2.01,0.03,-25.6365702202722,2.3807126317644,2.10910410813457
"48",2.11,0.03,-25.8551349222192,2.46066219518187,2.17554692648043
"49",2.21,0.03,-26.0759629375902,2.54149406154718,2.24287485978694
"50",2.31,0.03,-26.299015743518,2.6231747460309,2.31105532358075
"51",2.41,0.03,-26.5242533073169,2.70566903465986,2.38005420820353
"52",2.51,0.03,-26.7516340515718,2.78893988421506,2.44983580418542
"53",0.01,0.05,-19.9510065543904,1.00568190892819,1.00433055757684
"54",0.11,0.05,-20.1141479065,1.06318654318079,1.04832167831593
"55",0.21,0.05,-20.2801168793666,1.12193654690698,1.09355816852861
"56",0.31,0.05,-20.4489093862087,1.18192894492939,1.14003705303779
"57",0.41,0.05,-20.6205190112432,1.24315892058566,1.18775351518481
"58",0.51,0.05,-20.7949370341277,1.30561984115129,1.23670092227044
"59",0.61,0.05,-20.9721524630849,1.3693032923702,1.28687086015254
"60",0.71,0.05,-21.1521520762319,1.43419912125148,1.33825317622774
"61",0.81,0.05,-21.3349204704238,1.50029548587561,1.3908360296551
"62",0.91,0.05,-21.5204401166863,1.56757891050187,1.44460594727907
"63",1.01,0.05,-21.7086914210706,1.63603434382549,1.49954788331629
"64",1.11,0.05,-21.8996527895297,1.70564521784512,1.55564528052536
"65",1.21,0.05,-22.0933006952172,1.7763935045119,1.61288013031944
"66",1.31,0.05,-22.2896097464503,1.84825976717523,1.67123302913749
"67",1.41,0.05,-22.4885527534869,1.92122320384276,1.73068322838428
"68",1.51,0.05,-22.6901007922398,1.99526167944473,1.79120867539204
"69",1.61,0.05,-22.8942232631039,2.07035174463735,1.85278604314944
"70",1.71,0.05,-23.1008879431976,2.146468639184,1.91539074697708
"71",1.81,0.05,-23.3100610305277,2.22358627859606,1.97899694688396
"72",1.91,0.05,-23.5217071788531,2.30167722346778,2.04357753499214
"73",2.01,0.05,-23.7357895223536,2.3807126317644,2.10910410813457
"74",2.11,0.05,-23.9522696895812,2.46066219518187,2.17554692648043
"75",2.21,0.05,-24.1711078065745,2.54149406154718,2.24287485978694
"76",2.31,0.05,-24.3922624894325,2.6231747460309,2.31105532358075
"77",2.41,0.05,-24.6156908270593,2.70566903465986,2.38005420820353
"78",2.51,0.05,-24.8413483551828,2.78893988421506,2.44983580418542
"79",0.01,0.07,-18.8101373132831,1.00568190892819,1.00433055757684
"80",0.11,0.07,-18.9689046510544,1.06318654318079,1.04832167831593
"81",0.21,0.07,-19.1306310593591,1.12193654690698,1.09355816852861
"82",0.31,0.07,-19.2953118533741,1.18192894492939,1.14003705303779
"83",0.41,0.07,-19.4629398403876,1.24315892058566,1.18775351518481
"84",0.51,0.07,-19.633505347389,1.30561984115129,1.23670092227044
"85",0.61,0.07,-19.806996258239,1.3693032923702,1.28687086015254
"86",0.71,0.07,-19.9833980599057,1.43419912125148,1.33825317622774
"87",0.81,0.07,-20.1626938970351,1.50029548587561,1.3908360296551
"88",0.91,0.07,-20.3448646338801,1.56757891050187,1.44460594727907
"89",1.01,0.07,-20.5298889223646,1.63603434382549,1.49954788331629
"90",1.11,0.07,-20.7177432748223,1.70564521784512,1.55564528052536
"91",1.21,0.07,-20.9084021397377,1.7763935045119,1.61288013031944
"92",1.31,0.07,-21.1018379786621,1.84825976717523,1.67123302913749
"93",1.41,0.07,-21.2980213423693,1.92122320384276,1.73068322838428
"94",1.51,0.07,-21.4969209442933,1.99526167944473,1.79120867539204
"95",1.61,0.07,-21.6985037293333,2.07035174463735,1.85278604314944
"96",1.71,0.07,-21.902734936241,2.146468639184,1.91539074697708
"97",1.81,0.07,-22.1095781520061,2.22358627859606,1.97899694688396
"98",1.91,0.07,-22.3189953569302,2.30167722346778,2.04357753499214
"99",2.01,0.07,-22.5309469594092,2.3807126317644,2.10910410813457
"100",2.11,0.07,-22.7453918198221,2.46066219518187,2.17554692648043
"101",2.21,0.07,-22.9622872633341,2.54149406154718,2.24287485978694
"102",2.31,0.07,-23.1815890818436,2.6231747460309,2.31105532358075
"103",2.41,0.07,-23.403251525727,2.70566903465986,2.38005420820353
"104",2.51,0.07,-23.62722728644,2.78893988421506,2.44983580418542
"105",0.01,0.09,-18.0070785151782,1.00568190892819,1.00433055757684
"106",0.11,0.09,-18.1615594296222,1.06318654318079,1.04832167831593
"107",0.21,0.09,-18.3191292542818,1.12193654690698,1.09355816852861
"108",0.31,0.09,-18.4797826252762,1.18192894492939,1.14003705303779
"109",0.41,0.09,-18.6435114991362,1.24315892058566,1.18775351518481
"110",0.51,0.09,-18.8103051836183,1.30561984115129,1.23670092227044
"111",0.61,0.09,-18.9801503789548,1.3693032923702,1.28687086015254
"112",0.71,0.09,-19.1530312289904,1.43419912125148,1.33825317622774
"113",0.81,0.09,-19.3289293814319,1.50029548587561,1.3908360296551
"114",0.91,0.09,-19.5078240561867,1.56757891050187,1.44460594727907
"115",1.01,0.09,-19.689692120512,1.63603434382549,1.49954788331629
"116",1.11,0.09,-19.8745081694535,1.70564521784512,1.55564528052536
"117",1.21,0.09,-20.062244609837,1.7763935045119,1.61288013031944
"118",1.31,0.09,-20.2528717459091,1.84825976717523,1.67123302913749
"119",1.41,0.09,-20.4463578646203,1.92122320384276,1.73068322838428
"120",1.51,0.09,-20.6426693185067,1.99526167944473,1.79120867539204
"121",1.61,0.09,-20.8417706041737,2.07035174463735,1.85278604314944
"122",1.71,0.09,-21.0436244345109,2.146468639184,1.91539074697708
"123",1.81,0.09,-21.2481918029664,2.22358627859606,1.97899694688396
"124",1.91,0.09,-21.4554320384887,2.30167722346778,2.04357753499214
"125",2.01,0.09,-21.6653028500721,2.3807126317644,2.10910410813457
"126",2.11,0.09,-21.8777603602306,2.46066219518187,2.17554692648043
"127",2.21,0.09,-22.0927591271348,2.54149406154718,2.24287485978694
"128",2.31,0.09,-22.3102521555811,2.6231747460309,2.31105532358075
"129",2.41,0.09,-22.5301908973922,2.70566903465986,2.38005420820353
"130",2.51,0.09,-22.7525252422605,2.78893988421506,2.44983580418542
"131",0.01,0.11,-17.4038463683182,1.00568190892819,1.00433055757684
"132",0.11,0.11,-17.5541267639327,1.06318654318079,1.04832167831593
"133",0.21,0.11,-17.7076242907895,1.12193654690698,1.09355816852861
"134",0.31,0.11,-17.8643328295537,1.18192894492939,1.14003705303779
"135",0.41,0.11,-18.0242434166262,1.24315892058566,1.18775351518481
"136",0.51,0.11,-18.1873442782398,1.30561984115129,1.23670092227044
"137",0.61,0.11,-18.3536208758083,1.3693032923702,1.28687086015254
"138",0.71,0.11,-18.5230559619429,1.43419912125148,1.33825317622774
"139",0.81,0.11,-18.6956296463221,1.50029548587561,1.3908360296551
"140",0.91,0.11,-18.8713194703427,1.56757891050187,1.44460594727907
"141",1.01,0.11,-19.0501004892225,1.63603434382549,1.49954788331629
"142",1.11,0.11,-19.2319453599729,1.70564521784512,1.55564528052536
"143",1.21,0.11,-19.4168244334425,1.7763935045119,1.61288013031944
"144",1.31,0.11,-19.6047058484575,1.84825976717523,1.67123302913749
"145",1.41,0.11,-19.7955556259785,1.92122320384276,1.73068322838428
"146",1.51,0.11,-19.9893377611501,1.99526167944473,1.79120867539204
"147",1.61,0.11,-20.1860143111695,2.07035174463735,1.85278604314944
"148",1.71,0.11,-20.3855454770149,2.146468639184,1.91539074697708
"149",1.81,0.11,-20.5878896772857,2.22358627859606,1.97899694688396
"150",1.91,0.11,-20.7930036126764,2.30167722346778,2.04357753499214
"151",2.01,0.11,-21.000842319946,2.3807126317644,2.10910410813457
"152",2.11,0.11,-21.2113592146327,2.46066219518187,2.17554692648043
"153",2.21,0.11,-21.424506122182,2.54149406154718,2.24287485978694
"154",2.31,0.11,-21.6402332975989,2.6231747460309,2.31105532358075
"155",2.41,0.11,-21.8584894341688,2.70566903465986,2.38005420820353
"156",2.51,0.11,-22.0792216622195,2.78893988421506,2.44983580418542
"157",0.01,0.13,-16.9324026770915,1.00568190892819,1.00433055757684
"158",0.11,0.13,-17.0785668201395,1.06318654318079,1.04832167831593
"159",0.21,0.13,-17.2280746898053,1.12193654690698,1.09355816852861
"160",0.31,0.13,-17.3809193393426,1.18192894492939,1.14003705303779
"161",0.41,0.13,-17.5370908199228,1.24315892058566,1.18775351518481
"162",0.51,0.13,-17.6965762180556,1.30561984115129,1.23670092227044
"163",0.61,0.13,-17.8593597050403,1.3693032923702,1.28687086015254
"164",0.71,0.13,-18.02542259783,1.43419912125148,1.33825317622774
"165",0.81,0.13,-18.1947434304506,1.50029548587561,1.3908360296551
"166",0.91,0.13,-18.3672980348608,1.56757891050187,1.44460594727907
"167",1.01,0.13,-18.543059629868,1.63603434382549,1.49954788331629
"168",1.11,0.13,-18.7219989164659,1.70564521784512,1.55564528052536
"169",1.21,0.13,-18.904084177729,1.7763935045119,1.61288013031944
"170",1.31,0.13,-19.0892813812267,1.84825976717523,1.67123302913749
"171",1.41,0.13,-19.2775542818011,1.92122320384276,1.73068322838428
"172",1.51,0.13,-19.4688645225134,1.99526167944473,1.79120867539204
"173",1.61,0.13,-19.6631717316046,2.07035174463735,1.85278604314944
"174",1.71,0.13,-19.860433613433,2.146468639184,1.91539074697708
"175",1.81,0.13,-20.0606060315618,2.22358627859606,1.97899694688396
"176",1.91,0.13,-20.2636430824394,2.30167722346778,2.04357753499214
"177",2.01,0.13,-20.4694971584615,2.3807126317644,2.10910410813457
"178",2.11,0.13,-20.6781189995932,2.46066219518187,2.17554692648043
"179",2.21,0.13,-20.8894577331568,2.54149406154718,2.24287485978694
"180",2.31,0.13,-21.1034609018371,2.6231747460309,2.31105532358075
"181",2.41,0.13,-21.320074480402,2.70566903465986,2.38005420820353
"182",2.51,0.13,-21.5392428820668,2.78893988421506,2.44983580418542
"183",0.01,0.15,-16.5535218860576,1.00568190892819,1.00433055757684
"184",0.11,0.15,-16.6956377442631,1.06318654318079,1.04832167831593
"185",0.21,0.15,-16.8412223388284,1.12193654690698,1.09355816852861
"186",0.31,0.15,-16.9902678335078,1.18192894492939,1.14003705303779
"187",0.41,0.15,-17.1427632385316,1.24315892058566,1.18775351518481
"188",0.51,0.15,-17.2986944513691,1.30561984115129,1.23670092227044
"189",0.61,0.15,-17.4580443102658,1.3693032923702,1.28687086015254
"190",0.71,0.15,-17.6207926599034,1.43419912125148,1.33825317622774
"191",0.81,0.15,-17.7869164282859,1.50029548587561,1.3908360296551
"192",0.91,0.15,-17.9563897136919,1.56757891050187,1.44460594727907
"193",1.01,0.15,-18.1291838802609,1.63603434382549,1.49954788331629
"194",1.11,0.15,-18.3052676605209,1.70564521784512,1.55564528052536
"195",1.21,0.15,-18.4846072629367,1.7763935045119,1.61288013031944
"196",1.31,0.15,-18.667166482373,1.84825976717523,1.67123302913749
"197",1.41,0.15,-18.8529068112511,1.92122320384276,1.73068322838428
"198",1.51,0.15,-19.0417875491298,1.99526167944473,1.79120867539204
"199",1.61,0.15,-19.2337659084798,2.07035174463735,1.85278604314944
"200",1.71,0.15,-19.4287971145421,2.146468639184,1.91539074697708
"201",1.81,0.15,-19.6268344973625,2.22358627859606,1.97899694688396
"202",1.91,0.15,-19.827829574373,2.30167722346778,2.04357753499214
"203",2.01,0.15,-20.0317321222377,2.3807126317644,2.10910410813457
"204",2.11,0.15,-20.2384902370727,2.46066219518187,2.17554692648043
"205",2.21,0.15,-20.4480503825852,2.54149406154718,2.24287485978694
"206",2.31,0.15,-20.6603574261296,2.6231747460309,2.31105532358075
"207",2.41,0.15,-20.87535466313,2.70566903465986,2.38005420820353
"208",2.51,0.15,-21.0929838307593,2.78893988421506,2.44983580418542
"209",0.01,0.17,-16.2443907038644,1.00568190892819,1.00433055757684
"210",0.11,0.17,-16.3825504631295,1.06318654318079,1.04832167831593
"211",0.21,0.17,-16.5243023086486,1.12193654690698,1.09355816852861
"212",0.31,0.17,-16.669637447233,1.18192894492939,1.14003705303779
"213",0.41,0.17,-16.8185437874583,1.24315892058566,1.18775351518481
"214",0.51,0.17,-16.9710059837885,1.30561984115129,1.23670092227044
"215",0.61,0.17,-17.1270054941834,1.3693032923702,1.28687086015254
"216",0.71,0.17,-17.2865206505045,1.43419912125148,1.33825317622774
"217",0.81,0.17,-17.4495267407839,1.50029548587561,1.3908360296551
"218",0.91,0.17,-17.6159961021523,1.56757891050187,1.44460594727907
"219",1.01,0.17,-17.7858982229475,1.63603434382549,1.49954788331629
"220",1.11,0.17,-17.9591998522554,1.70564521784512,1.55564528052536
"221",1.21,0.17,-18.1358651149072,1.7763935045119,1.61288013031944
"222",1.31,0.17,-18.3158556297642,1.84825976717523,1.67123302913749
"223",1.41,0.17,-18.4991306290011,1.92122320384276,1.73068322838428
"224",1.51,0.17,-18.6856470760509,1.99526167944473,1.79120867539204
"225",1.61,0.17,-18.8753597799085,2.07035174463735,1.85278604314944
"226",1.71,0.17,-19.0682215036075,2.146468639184,1.91539074697708
"227",1.81,0.17,-19.2641830648929,2.22358627859606,1.97899694688396
"228",1.91,0.17,-19.4631934273865,2.30167722346778,2.04357753499214
"229",2.01,0.17,-19.6651997808948,2.3807126317644,2.10910410813457
"230",2.11,0.17,-19.870147609904,2.46066219518187,2.17554692648043
"231",2.21,0.17,-20.0779807497507,2.54149406154718,2.24287485978694
"232",2.31,0.17,-20.288641430411,2.6231747460309,2.31105532358075
"233",2.41,0.17,-20.5020703083148,2.70566903465986,2.38005420820353
"234",2.51,0.17,-20.7182064870391,2.78893988421506,2.44983580418542
"235",0.01,0.19,-15.988519281843,1.00568190892819,1.00433055757684
"236",0.11,0.19,-16.1228018003694,1.06318654318079,1.04832167831593
"237",0.21,0.19,-16.2607981237359,1.12193654690698,1.09355816852861
"238",0.31,0.19,-16.4024984425139,1.18192894492939,1.14003705303779
"239",0.41,0.19,-16.5478895106559,1.24315892058566,1.18775351518481
"240",0.51,0.19,-16.6969546929819,1.30561984115129,1.23670092227044
"241",0.61,0.19,-16.8496740268238,1.3693032923702,1.28687086015254
"242",0.71,0.19,-17.0060242971131,1.43419912125148,1.33825317622774
"243",0.81,0.19,-17.165979123937,1.50029548587561,1.3908360296551
"244",0.91,0.19,-17.3295090613189,1.56757891050187,1.44460594727907
"245",1.01,0.19,-17.4965817056948,1.63603434382549,1.49954788331629
"246",1.11,0.19,-17.6671618122911,1.70564521784512,1.55564528052536
"247",1.21,0.19,-17.8412114173666,1.7763935045119,1.61288013031944
"248",1.31,0.19,-18.0186899640942,1.84825976717523,1.67123302913749
"249",1.41,0.19,-18.1995544297278,1.92122320384276,1.73068322838428
"250",1.51,0.19,-18.3837594516499,1.99526167944473,1.79120867539204
"251",1.61,0.19,-18.5712574499283,2.07035174463735,1.85278604314944
"252",1.71,0.19,-18.7619987441266,2.146468639184,1.91539074697708
"253",1.81,0.19,-18.9559316623197,2.22358627859606,1.97899694688396
"254",1.91,0.19,-19.1530026405432,2.30167722346778,2.04357753499214
"255",2.01,0.19,-19.3531563112605,2.3807126317644,2.10910410813457
"256",2.11,0.19,-19.5563355798306,2.46066219518187,2.17554692648043
"257",2.21,0.19,-19.7624816884087,2.54149406154718,2.24287485978694
"258",2.31,0.19,-19.9715342671737,2.6231747460309,2.31105532358075
"259",2.41,0.19,-20.1834313732455,2.70566903465986,2.38005420820353
"260",2.51,0.19,-20.3981095181104,2.78893988421506,2.44983580418542
"261",0.01,0.21,-15.7747880386144,1.00568190892819,1.00433055757684
"262",0.11,0.21,-15.9052705925079,1.06318654318079,1.04832167831593
"263",0.21,0.21,-16.0395870384422,1.12193654690698,1.09355816852861
"264",0.31,0.21,-16.1777264952681,1.18192894492939,1.14003705303779
"265",0.41,0.21,-16.3196745129936,1.24315892058566,1.18775351518481
"266",0.51,0.21,-16.4654131236176,1.30561984115129,1.23670092227044
"267",0.61,0.21,-16.6149209067713,1.3693032923702,1.28687086015254
"268",0.71,0.21,-16.7681730694137,1.43419912125148,1.33825317622774
"269",0.81,0.21,-16.9251415385744,1.50029548587561,1.3908360296551
"270",0.91,0.21,-17.0857950658561,1.56757891050187,1.44460594727907
"271",1.01,0.21,-17.2500993421251,1.63603434382549,1.49954788331629
"272",1.11,0.21,-17.418017120544,1.70564521784512,1.55564528052536
"273",1.21,0.21,-17.5895083458575,1.7763935045119,1.61288013031944
"274",1.31,0.21,-17.764530287647,1.84825976717523,1.67123302913749
"275",1.41,0.21,-17.9430376751403,1.92122320384276,1.73068322838428
"276",1.51,0.21,-18.1249828311052,1.99526167944473,1.79120867539204
"277",1.61,0.21,-18.3103158023904,2.07035174463735,1.85278604314944
"278",1.71,0.21,-18.4989844847895,2.146468639184,1.91539074697708
"279",1.81,0.21,-18.6909347401125,2.22358627859606,1.97899694688396
"280",1.91,0.21,-18.8861105036277,2.30167722346778,2.04357753499214
"281",2.01,0.21,-19.0844538803935,2.3807126317644,2.10910410813457
"282",2.11,0.21,-19.2859052294062,2.46066219518187,2.17554692648043
"283",2.21,0.21,-19.4904032349402,2.54149406154718,2.24287485978694
"284",2.31,0.21,-19.6978849649276,2.6231747460309,2.31105532358075
"285",2.41,0.21,-19.9082859167001,2.70566903465986,2.38005420820353
"286",2.51,0.21,-20.1215400508776,2.78893988421506,2.44983580418542
