"","prop","mu","prob","meanN","meanNb"
"1",0.92,0.01,-29.204762640782,3.48366768476924,3.01290178142205
"2",0.93,0.01,-28.7831369127176,3.48448134074769,3.0136054838899
"3",0.94,0.01,-28.3660206371644,3.4852780059468,3.01429449162967
"4",0.95,0.01,-27.9533183732734,3.48605820696548,3.01496926007825
"5",0.96,0.01,-27.5449376784489,3.48682244886804,3.01563022604803
"6",0.97,0.01,-27.1407889840626,3.48757121627365,3.0162778086691
"7",0.98,0.01,-26.7407854775422,3.48830497438032,3.01691241027487
"8",0.99,0.01,-26.3448429904455,3.4890241699279,3.01753441723495
"9",1,0.01,-25.952879892159,3.48972923210449,3.01814420073902
"10",0.92,0.03,-25.0216643234192,3.48366768476924,3.01290178142205
"11",0.93,0.03,-24.6000385953548,3.48448134074769,3.0136054838899
"12",0.94,0.03,-24.1829223198016,3.4852780059468,3.01429449162967
"13",0.95,0.03,-23.7702200559106,3.48605820696548,3.01496926007825
"14",0.96,0.03,-23.3618393610861,3.48682244886804,3.01563022604803
"15",0.97,0.03,-22.9576906666998,3.48757121627365,3.0162778086691
"16",0.98,0.03,-22.5576871601794,3.48830497438032,3.01691241027487
"17",0.99,0.03,-22.1617446730827,3.4890241699279,3.01753441723495
"18",1,0.03,-21.7697815747962,3.48972923210449,3.01814420073902
"19",0.92,0.05,-23.1867307743819,3.48366768476924,3.01290178142205
"20",0.93,0.05,-22.7651050463175,3.48448134074769,3.0136054838899
"21",0.94,0.05,-22.3479887707643,3.4852780059468,3.01429449162967
"22",0.95,0.05,-21.9352865068734,3.48605820696548,3.01496926007825
"23",0.96,0.05,-21.5269058120488,3.48682244886804,3.01563022604803
"24",0.97,0.05,-21.1227571176625,3.48757121627365,3.0162778086691
"25",0.98,0.05,-20.7227536111422,3.48830497438032,3.01691241027487
"26",0.99,0.05,-20.3268111240455,3.4890241699279,3.01753441723495
"27",1,0.05,-19.9348480257589,3.48972923210449,3.01814420073902
"28",0.92,0.07,-22.0463061820753,3.48366768476924,3.01290178142205
"29",0.93,0.07,-21.6246804540109,3.48448134074769,3.0136054838899
"30",0.94,0.07,-21.2075641784578,3.4852780059468,3.01429449162967
"31",0.95,0.07,-20.7948619145668,3.48605820696548,3.01496926007825
"32",0.96,0.07,-20.3864812197423,3.48682244886804,3.01563022604803
"33",0.97,0.07,-19.982332525356,3.48757121627365,3.0162778086691
"34",0.98,0.07,-19.5823290188356,3.48830497438032,3.01691241027487
"35",0.99,0.07,-19.1863865317389,3.4890241699279,3.01753441723495
"36",1,0.07,-18.7944234334524,3.48972923210449,3.01814420073902
"37",0.92,0.09,-21.2436831884458,3.48366768476924,3.01290178142205
"38",0.93,0.09,-20.8220574603814,3.48448134074769,3.0136054838899
"39",0.94,0.09,-20.4049411848282,3.4852780059468,3.01429449162967
"40",0.95,0.09,-19.9922389209373,3.48605820696548,3.01496926007825
"41",0.96,0.09,-19.5838582261127,3.48682244886804,3.01563022604803
"42",0.97,0.09,-19.1797095317264,3.48757121627365,3.0162778086691
"43",0.98,0.09,-18.779706025206,3.48830497438032,3.01691241027487
"44",0.99,0.09,-18.3837635381093,3.4890241699279,3.01753441723495
"45",1,0.09,-17.9918004398228,3.48972923210449,3.01814420073902
"46",0.92,0.11,-20.6408781697339,3.48366768476924,3.01290178142205
"47",0.93,0.11,-20.2192524416695,3.48448134074769,3.0136054838899
"48",0.94,0.11,-19.8021361661163,3.4852780059468,3.01429449162967
"49",0.95,0.11,-19.3894339022254,3.48605820696548,3.01496926007825
"50",0.96,0.11,-18.9810532074009,3.48682244886804,3.01563022604803
"51",0.97,0.11,-18.5769045130146,3.48757121627365,3.0162778086691
"52",0.98,0.11,-18.1769010064942,3.48830497438032,3.01691241027487
"53",0.99,0.11,-17.7809585193975,3.4890241699279,3.01753441723495
"54",1,0.11,-17.3889954211109,3.48972923210449,3.01814420073902
"55",0.92,0.13,-20.1698530935913,3.48366768476924,3.01290178142205
"56",0.93,0.13,-19.7482273655269,3.48448134074769,3.0136054838899
"57",0.94,0.13,-19.3311110899737,3.4852780059468,3.01429449162967
"58",0.95,0.13,-18.9184088260828,3.48605820696548,3.01496926007825
"59",0.96,0.13,-18.5100281312583,3.48682244886804,3.01563022604803
"60",0.97,0.13,-18.105879436872,3.48757121627365,3.0162778086691
"61",0.98,0.13,-17.7058759303516,3.48830497438032,3.01691241027487
"62",0.99,0.13,-17.3099334432549,3.4890241699279,3.01753441723495
"63",1,0.13,-16.9179703449683,3.48972923210449,3.01814420073902
"64",0.92,0.15,-19.7913840362388,3.48366768476924,3.01290178142205
"65",0.93,0.15,-19.3697583081744,3.48448134074769,3.0136054838899
"66",0.94,0.15,-18.9526420326212,3.4852780059468,3.01429449162967
"67",0.95,0.15,-18.5399397687303,3.48605820696548,3.01496926007825
"68",0.96,0.15,-18.1315590739058,3.48682244886804,3.01563022604803
"69",0.97,0.15,-17.7274103795195,3.48757121627365,3.0162778086691
"70",0.98,0.15,-17.3274068729991,3.48830497438032,3.01691241027487
"71",0.99,0.15,-16.9314643859024,3.4890241699279,3.01753441723495
"72",1,0.15,-16.5395012876158,3.48972923210449,3.01814420073902
"73",0.92,0.17,-19.4826552806413,3.48366768476924,3.01290178142205
"74",0.93,0.17,-19.0610295525769,3.48448134074769,3.0136054838899
"75",0.94,0.17,-18.6439132770237,3.4852780059468,3.01429449162967
"76",0.95,0.17,-18.2312110131328,3.48605820696548,3.01496926007825
"77",0.96,0.17,-17.8228303183083,3.48682244886804,3.01563022604803
"78",0.97,0.17,-17.4186816239219,3.48757121627365,3.0162778086691
"79",0.98,0.17,-17.0186781174016,3.48830497438032,3.01691241027487
"80",0.99,0.17,-16.6227356303049,3.4890241699279,3.01753441723495
"81",1,0.17,-16.2307725320183,3.48972923210449,3.01814420073902
"82",0.92,0.19,-19.2271783121445,3.48366768476924,3.01290178142205
"83",0.93,0.19,-18.8055525840801,3.48448134074769,3.0136054838899
"84",0.94,0.19,-18.388436308527,3.4852780059468,3.01429449162967
"85",0.95,0.19,-17.975734044636,3.48605820696548,3.01496926007825
"86",0.96,0.19,-17.5673533498115,3.48682244886804,3.01563022604803
"87",0.97,0.19,-17.1632046554252,3.48757121627365,3.0162778086691
"88",0.98,0.19,-16.7632011489048,3.48830497438032,3.01691241027487
"89",0.99,0.19,-16.3672586618081,3.4890241699279,3.01753441723495
